trade_date,loan_age,cosign,income_annual,upb,monthly_payment,fico,origbalance,mos_to_repay,repay_status,mos_to_balln
2023-01-01,16,0,130478.4,20498.42,347.49,826,25373.06,0,0,69
2023-01-01,34,0,145966.1,11621.6,474.81,700,25605.77,0,0,26
2023-01-01,38,0,244009.28,25601.84,372.93,827,35000,0,0,82
2023-01-01,20,0,164999.9,45981.98,559.66,740,53604.01,0,0,100
2023-01-01,26,0,77382.68,16208.35,224.95,821,20029.65,0,0,94
2023-01-01,25,0,65127.17,24132.29,484.51,668,33152.16,0,0,59
2023-01-01,53,1,164060,20142.27,361.86,814,33316.68,0,0,67
2023-01-01,21,0,75000.12,49645.04,648.12,745,57947.57,0,0,99
2023-01-01,31,0,325537.51,50537.84,717.42,827,64927.72,0,0,89
2023-01-01,17,0,174990.4,89663.81,1076.75,779,101385.32,0,0,103
2023-01-01,39,0,230400.04,232502.93,3469.92,824,325679.19,0,0,81
2023-01-01,11,0,100571.34,74988.91,535.77,816,77017.35,0,0,230
2023-01-01,39,0,91838.28,54226.92,1389.63,813,95782.27,0,0,46
2023-01-01,32,0,306780,5501.88,118.55,810,24048.05,0,0,52
2023-01-01,33,0,113039.76,6359.25,348.14,764,18336.43,0,0,28
2023-01-01,22,0,321254.5,104255.77,783.01,793,110267.33,0,0,220
2023-01-01,19,0,132600,8689.67,554.85,806,30000,0,0,42
2023-01-01,18,0,126000,141624.26,1756.95,810,162520.55,0,0,103
2023-01-01,31,0,79999.92,31821.36,724.54,807,49528.28,0,0,53
2023-01-01,3,0,170630.46,34624.33,315.22,712,34770.51,0,0,178
2023-01-01,51,0,136000.02,35896.47,607.15,699,58498.47,0,0,70
2023-01-01,31,0,207419.04,9719.02,426.3,775,22989.81,0,0,30
2023-01-01,18,0,116602.29,6087.51,158.85,716,8420.51,0,0,42
2023-01-01,8,0,91999.92,22936.12,278.71,664,24626.77,0,0,112
2023-01-01,37,0,184774.2,29533.35,231.89,850,43810.43,0,0,203
2023-01-01,3,0,120250,187681.91,1509.46,820,190338.57,0,0,177
2023-01-01,48,0,80531.88,39663.35,372.63,729,48986.35,0,0,192
2023-01-01,30,0,179232.96,96722.83,959,725,108998.95,0,0,150
2023-01-01,23,0,119999.88,138300.88,1105.84,815,162351.69,0,0,218
2023-01-01,17,0,100000,102733.22,1258.21,814,116420.07,0,0,104
2023-01-01,26,0,65128.44,11407.55,395.06,822,20772.59,0,0,35
2023-01-01,10,0,133426.28,36405.98,428.63,792,39935.58,0,0,110
2023-01-01,22,0,75962.64,28415.22,369.88,698,33253.31,0,0,100
2023-01-01,49,0,56400,78740.64,725.18,687,90224.68,0,0,191
2023-01-01,4,0,108554.88,43455.43,475.65,834,44253.11,0,0,117
2023-01-01,22,0,127753.6,27688.64,1043.23,819,56412.5,0,0,39
2023-01-01,39,0,118399.84,67441.19,1013.06,743,92809.77,0,0,81
2023-01-01,32,0,147000,29313.63,628.88,709,45005.45,0,0,52
2023-01-01,8,0,34170,13140.32,215.08,831,14438.37,0,0,76
2023-01-01,28,0,95000.16,26708.69,614.31,781,41697.58,0,0,60
2023-01-01,16,0,68640,8371.07,99.93,780,9295.96,0,0,106
2023-01-01,25,0,120000,12414.11,184.59,704,17007.46,0,0,95
2023-01-01,25,0,100000.08,91227.47,1231.36,830,111546.87,0,0,95
2023-01-01,18,0,309254.37,63701.68,549.61,791,68301.64,0,0,163
2023-01-01,17,0,107374.02,75727.82,659.79,845,82033.54,0,0,163
2023-01-01,14,0,80400,20214.12,237.32,809,22320.83,0,0,106
2023-01-01,25,0,52910,13879.01,191.89,753,16679.59,0,0,95
2023-01-01,41,0,89643.96,37651.6,983.08,775,69067.56,0,0,43
2023-01-01,55,1,98544.94,14505.45,168.66,750,18678.69,0,0,182
2023-01-01,37,0,125000,8635.24,212.76,780,14975.29,0,0,48
2023-01-01,25,0,81599.96,25082.88,784.24,762,37955.77,2,1,62
2023-01-01,22,0,100169.72,20269.45,375.12,791,26517.34,0,0,63
2023-01-01,16,0,170707.52,150597.89,3017.46,756,214897.14,0,0,68
2023-01-01,28,0,406410.96,141141.67,2758.22,790,200063.9,0,0,57
2023-01-01,30,0,134201.6,29906.87,398.56,809,38013.52,0,0,90
2023-01-01,37,0,47980.92,33332.98,295.65,656,35983.18,0,0,203
2023-01-01,9,0,111792.09,61853.42,1447.33,787,77076.59,0,0,51
2023-01-01,38,0,232592.64,46769.18,470.93,774,58059.34,0,0,142
2023-01-01,28,0,57475.08,79561.24,654.36,690,84328.47,0,0,212
2023-01-01,24,0,170000.16,102172.53,1282.46,815,122874.6,0,0,96
2023-01-01,28,0,64396.8,89099.17,881.17,711,98139.5,0,0,154
2023-01-01,15,0,46040,28030.43,360.31,749,32199.08,0,0,105
2023-01-01,58,0,54080,879.64,461.37,791,24175.77,0,0,2
2023-01-01,24,0,200000.06,27038.66,364.44,721,32405.21,0,0,97
